epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.5011,1.38701,2.27788,1.49473,0.568,0.57699,0.56563,0.32002,1.30863,1.4945,1.42369,0.000369319,0.000369319,0.000369319
2,99.021,1.37841,1.68312,1.44251,0.63145,0.60323,0.59715,0.33445,1.37722,1.30898,1.44035,0.000725007,0.000725007,0.000725007
3,143.829,1.40633,1.56404,1.46272,0.65789,0.61122,0.63403,0.35043,1.37342,1.19042,1.44576,0.00106603,0.00106603,0.00106603
4,186.726,1.36346,1.44381,1.4362,0.71645,0.62515,0.67004,0.38179,1.31286,1.05084,1.40884,0.00104501,0.00104501,0.00104501
5,227.66,1.3655,1.31144,1.42578,0.66278,0.64817,0.67396,0.37131,1.34543,1.102,1.44436,0.00102301,0.00102301,0.00102301
6,266.853,1.35497,1.25236,1.41925,0.70633,0.65054,0.69494,0.40338,1.32059,1.00498,1.4087,0.00100101,0.00100101,0.00100101
7,306.367,1.31117,1.16155,1.38924,0.73465,0.70777,0.73336,0.4324,1.23073,0.91043,1.34488,0.000979013,0.000979013,0.000979013
8,347.695,1.30971,1.13059,1.38768,0.76344,0.71926,0.76544,0.46094,1.18887,0.87764,1.32512,0.000957015,0.000957015,0.000957015
9,389.542,1.31538,1.08922,1.38061,0.74468,0.72311,0.76785,0.45851,1.22882,0.85276,1.32768,0.000935018,0.000935018,0.000935018
10,430.436,1.27103,1.04987,1.36654,0.72748,0.74166,0.7621,0.47517,1.15154,0.83659,1.29681,0.00091302,0.00091302,0.00091302
11,470.428,1.2375,1.00997,1.32611,0.77769,0.77481,0.81478,0.48606,1.17017,0.76608,1.28594,0.000891022,0.000891022,0.000891022
12,510.375,1.24518,1.00349,1.33661,0.79685,0.77028,0.82045,0.50806,1.15408,0.77956,1.27075,0.000869024,0.000869024,0.000869024
13,550.537,1.22387,0.96589,1.33317,0.83675,0.78083,0.85292,0.51887,1.1389,0.7313,1.25742,0.000847026,0.000847026,0.000847026
14,590.341,1.23049,0.92703,1.31309,0.83575,0.8083,0.86519,0.54246,1.11826,0.71201,1.24865,0.000825029,0.000825029,0.000825029
15,630.569,1.22165,0.93315,1.31566,0.83183,0.80607,0.86443,0.54702,1.11477,0.6938,1.23393,0.000803031,0.000803031,0.000803031
16,670.716,1.17956,0.87972,1.29391,0.82531,0.82539,0.87196,0.55239,1.08911,0.68521,1.21988,0.000781033,0.000781033,0.000781033
17,710.702,1.18144,0.87986,1.29492,0.80582,0.83349,0.85807,0.54259,1.09875,0.68454,1.22678,0.000759035,0.000759035,0.000759035
18,751.333,1.17574,0.88313,1.28098,0.85097,0.83414,0.88313,0.5576,1.07755,0.6667,1.214,0.000737037,0.000737037,0.000737037
19,791.314,1.16093,0.85901,1.26721,0.87812,0.83043,0.90273,0.58821,1.04983,0.63617,1.18739,0.00071504,0.00071504,0.00071504
20,831.26,1.15201,0.81496,1.26295,0.86549,0.86509,0.90261,0.58619,1.05711,0.62162,1.1829,0.000693042,0.000693042,0.000693042
21,871.394,1.1405,0.81121,1.25415,0.85299,0.8716,0.91703,0.59506,1.0473,0.61495,1.18775,0.000671044,0.000671044,0.000671044
22,911.68,1.13381,0.78884,1.25849,0.87265,0.87278,0.92443,0.60687,1.02599,0.58917,1.16307,0.000649046,0.000649046,0.000649046
23,951.634,1.11676,0.77563,1.24401,0.8854,0.86557,0.92514,0.60874,1.01993,0.58397,1.16359,0.000627048,0.000627048,0.000627048
24,991.726,1.11139,0.77338,1.23629,0.88782,0.85673,0.92727,0.61902,1.0054,0.5715,1.15518,0.000605051,0.000605051,0.000605051
25,1031.65,1.09786,0.74572,1.23382,0.89997,0.86906,0.92994,0.62329,0.99882,0.56191,1.15257,0.000583053,0.000583053,0.000583053
26,1071.74,1.09712,0.7333,1.21934,0.89125,0.89462,0.94102,0.63838,0.98322,0.5371,1.13998,0.000561055,0.000561055,0.000561055
27,1111.76,1.0711,0.73164,1.21488,0.90535,0.88736,0.94573,0.64522,0.97587,0.55806,1.1299,0.000539057,0.000539057,0.000539057
